+---------------+-----------------+------------------+
| timestamp     | double_latitude | double_longitude |
+---------------+-----------------+------------------+
| 1517598611468 | 47.654891584342 | -122.30672400187 |
| 1517598611482 | 47.654883677382 | -122.30672438786 |
| 1517598611596 | 47.654883677382 | -122.30672438786 |
| 1517598612208 | 47.654969499034 | -122.30680801021 |
| 1517599210496 | 47.654969499034 | -122.30680801021 |
| 1517599719953 | 47.654946486881 | -122.30543945496 |
| 1517599810424 | 47.654946486881 | -122.30543945496 |
| 1517600052179 | 47.654040737013 | -122.30575071555 |
| 1517600067065 | 47.653136289607 | -122.30557119143 |
| 1517600096252 | 47.653393053135 | -122.30859481554 |
| 1517600109083 | 47.652164208223 |  -122.3074765409 |
| 1517600128336 | 47.652741060772 | -122.30916239093 |
| 1517600134791 | 47.653721612048 | -122.31050747558 |
| 1517600141672 | 47.652348489422 | -122.30920434921 |
| 1517600163295 | 47.653338686937 | -122.31003542371 |
| 1517600165789 | 47.653083828617 | -122.31007757325 |
| 1517600212663 |  47.65407788814 | -122.31032945851 |
| 1517600224447 | 47.655102281461 | -122.31074734872 |
| 1517600274014 | 47.655537841504 | -122.31194417307 |
| 1517600394028 | 47.656100877393 | -122.31316790704 |
| 1517600410841 | 47.656100877393 | -122.31316790704 |
| 1517600857978 | 47.656017440995 | -122.31458757776 |
| 1517601010437 | 47.656017440995 | -122.31458757776 |
| 1517601011020 | 47.655779601973 |  -122.3158911891 |
| 1517601610414 | 47.655779601973 |  -122.3158911891 |
| 1517602212737 | 47.655779601973 |  -122.3158911891 |
| 1517602810424 | 47.655779601973 |  -122.3158911891 |
| 1517603410391 | 47.655779601973 |  -122.3158911891 |
| 1517603423140 | 47.656208534139 | -122.31450378617 |
| 1517603835624 | 47.655968241089 |  -122.3131601647 |
| 1517604011416 | 47.655968241089 |  -122.3131601647 |
| 1517604011417 | 47.655356322468 |  -122.3114924083 |
| 1517604051535 |  47.65415137112 | -122.31038980713 |
| 1517604070399 | 47.653187603935 | -122.31031314381 |
| 1517604090918 | 47.652057413974 |   -122.309524373 |
| 1517604150976 | 47.651306734915 | -122.30656184296 |
| 1517604160658 | 47.652318105812 | -122.30653003986 |
| 1517604205145 |   47.6532142316 | -122.30516554168 |
| 1517604252938 | 47.654110750636 | -122.30501289931 |
| 1517604610285 | 47.654110750636 | -122.30501289931 |
| 1517613152945 | 47.652057413974 |   -122.309524373 |
| 1517613152948 | 47.650730465674 | -122.30443216611 |
| 1517613152951 | 47.650730465674 | -122.30443216611 |
| 1517613751554 | 47.650730465674 | -122.30443216611 |
| 1517614351481 | 47.650730465674 | -122.30443216611 |
| 1517614388297 | 47.598616604341 | -122.32803506144 |
| 1517614641370 | 47.599220650285 | -122.32664430004 |
| 1517614753564 | 47.599201586252 |  -122.3248800165 |
| 1517614916362 | 47.599106487896 | -122.32339016406 |
| 1517614951425 | 47.599106487896 | -122.32339016406 |
| 1517615068046 | 47.598176898502 | -122.32264304462 |
| 1517615164990 | 47.597141204881 | -122.32247805562 |
| 1517615360957 | 47.596201289783 | -122.32232318915 |
| 1517615361038 | 47.596170472282 | -122.32233082991 |
| 1517615373098 | 47.596144279816 | -122.32233737492 |
| 1517615551403 | 47.596144279816 | -122.32233737492 |
| 1517616151405 | 47.596144279816 | -122.32233737492 |
| 1517616751449 | 47.596144279816 | -122.32233737492 |
| 1517617351450 | 47.596144279816 | -122.32233737492 |
| 1517617951314 | 47.596144279816 | -122.32233737492 |
| 1517618551360 | 47.596144279816 | -122.32233737492 |
| 1517619151319 | 47.596144279816 | -122.32233737492 |
| 1517619751355 | 47.596144279816 | -122.32233737492 |
| 1517620351292 | 47.596144279816 | -122.32233737492 |
| 1517620951274 | 47.596144279816 | -122.32233737492 |
| 1517621321431 | 47.595855182246 | -122.32494032241 |
| 1517621322529 | 47.595864053409 |  -122.3262736382 |
| 1517621340587 | 47.596175515809 |  -122.3276568749 |
| 1517621481503 | 47.595354371681 | -122.32878911225 |
| 1517621503424 | 47.592344869755 | -122.32902135076 |
| 1517621550503 | 47.590935905052 | -122.32959480778 |
| 1517621551244 | 47.590935905052 | -122.32959480778 |
| 1517621703152 | 47.586055487102 |  -122.3209439167 |
| 1517622045935 | 47.585140061649 | -122.32051160542 |
| 1517622045993 | 47.584233489937 |  -122.3200888591 |
| 1517622046036 | 47.583342925259 | -122.31967357707 |
| 1517622079965 | 47.538125127422 | -122.30020004863 |
| 1517622140860 | 47.535533250257 | -122.29899234198 |
| 1517622142147 | 47.509630602656 | -122.28076065548 |
| 1517622149620 |  47.50874573846 | -122.27906784181 |
| 1517622151225 |  47.50874573846 | -122.27906784181 |
| 1517622187094 | 47.507959028127 |  -122.2734863948 |
| 1517622219286 | 47.509442341351 |  -122.2710647014 |
| 1517622310298 | 47.506421062308 | -122.26987167504 |
| 1517622353283 | 47.506155011539 | -122.26398756253 |
| 1517622372694 | 47.506123016453 | -122.26025552068 |
| 1517622406981 | 47.506187863779 |  -122.2547713147 |
| 1517622441303 | 47.503066640018 |  -122.2509991037 |
| 1517622505638 | 47.501671395944 | -122.24739392572 |
| 1517622751194 | 47.501671395944 | -122.24739392572 |
| 1517623351222 | 47.501671395944 | -122.24739392572 |
| 1517624898230 | 47.501675770662 | -122.24721780058 |
| 1517624898506 | 47.501766022453 | -122.24722641473 |
| 1517625491537 | 47.501766022453 | -122.24722641473 |
| 1517625491537 | 47.501766022453 | -122.24722641473 |
| 1517626093633 | 47.501766022453 | -122.24722641473 |
| 1517626692481 | 47.501766022453 | -122.24722641473 |
